z, A, lambda, tau
7.941206561026426,-60.87773588292421,8.31901783085014e41,10.987081486760323
7.934882596504967,-60.77773588292421,7.155942311544055e41,10.89200184530068
7.9285535472840065,-60.67773588292421,6.1554695266310815e41,10.797664964806804
7.922219401046071,-60.57773588292421,5.294867763553712e41,10.704065551983092
7.915880145423792,-60.47773588292421,4.55458306968905e41,10.611198347790403
7.909535767999637,-60.37773588292421,3.917795036680571e41,10.519058127251686
7.903186256305599,-60.27773588292421,3.370034676704346e41,10.42763969925011
7.896831597822932,-60.17773588292421,2.8988557166473264e41,10.336937906334573
7.89047177998185,-60.07773588292421,2.493551838350655e41,10.246947624520054
7.8841067901612325,-59.97773588292421,2.1449134470375707e41,10.157663763097936
7.877736615688339,-59.87773588292421,1.8450184389599646e41,10.069081264434406
7.871361243838504,-59.77773588292421,1.5870522180865363e41,9.981195103787257
7.864980661834846,-59.67773588292421,1.3651528725791373e41,9.89400028910492
7.8585948568479544,-59.57773588292421,1.1742779932399734e41,9.80749186084213
7.852203815995609,-59.47773588292421,1.0100901105965153e41,9.721664891770144
7.845807526342442,-59.37773588292421,8.688581460767995e40,9.63651448678352
7.839405974899668,-59.27773588292421,7.473726397046026e40,9.552035782718889
7.832999148624736,-59.17773588292421,6.428728287807237e40,9.46822394816727
7.826587034421051,-59.07773588292421,5.529839200703073e40,9.385074183285981
7.820169619137635,-58.97773588292421,4.756631310700019e40,9.302581719617747
7.813746889568823,-58.87773588292421,4.0915327461026206e40,9.220741819908808
7.807318832453946,-58.77773588292421,3.519428321477297e40,9.139549777925271
7.800885434476983,-58.67773588292421,3.027316085148342e40,9.059000918271968
7.7944466822662815,-58.57773588292421,2.6040118817105357e40,8.979090596214213
7.788002562394199,-58.47773588292421,2.2398952162017844e40,8.899814197499934
7.781553061376772,-58.37773588292421,1.92669064655768e40,8.821167138181591
7.7750981656734,-58.27773588292421,1.6572797370857063e40,8.743144864439543
7.768637861686511,-58.17773588292421,1.425539300893959e40,8.665742852406847
7.762172135761213,-58.07773588292421,1.2262022564360007e40,8.588956607995119
7.755700974184957,-57.97773588292421,1.0547379368353976e40,8.512781666721654
7.749224363187208,-57.87773588292421,9.072491322127439e39,8.437213593537376
7.7427422889390956,-57.77773588292421,7.803835259799633e39,8.362247982655568
7.7362547375530495,-57.67773588292421,6.712575127835857e39,8.287880457381904
7.729761695082476,-57.57773588292421,5.773906671256581e39,8.21410666994536
7.723263147521376,-57.47773588292421,4.9664937370664196e39,8.140922301330265
7.716759080804026,-57.37773588292421,4.271983386704192e39,8.068323061109353
7.710249480804597,-57.27773588292421,3.674588799817585e39,7.996304687277806
7.70373433333679,-57.17773588292421,3.160730491908138e39,7.924862946088334
7.697213624153495,-57.07773588292421,2.7187276933256492e39,7.85399363188724
7.690687338946401,-56.97773588292421,2.3385328768118154e39,7.783692566951475
7.684155463345633,-56.87773588292421,2.0115034011830015e39,7.713955601326703
7.67761798291939,-56.77773588292421,1.7302050820779195e39,7.644778612666316
7.671074883173571,-56.67773588292421,1.4882432261360114e39,7.576157506071479
7.664526149551375,-56.57773588292421,1.2801172889948942e39,7.5080882139321155
7.657971767432945,-56.47773588292421,1.1010958542792152e39,7.440566695768867
7.651411722134975,-56.37773588292421,9.471090924905137e38,7.3735889380760735
7.644845998910331,-56.27773588292421,8.14656255894201e38,7.3071509541656585
7.638274582947641,-56.17773588292421,7.007261073544834e38,7.241248784012114
7.631697459370919,-56.077735882924216,6.027284746519138e38,7.175878494098165
7.62511461323916,-55.977735882924215,5.184353746662807e38,7.111036177261345
7.618526029545954,-55.87773588292421,4.459303698646622e38,7.04671795254164
7.6119316932190735,-55.77773588292422,3.8356500583758446e38,6.982919965030085
7.605331589120074,-55.67773588292422,3.2992133968834195e38,6.919638385718392
7.5987257020438825,-55.577735882924216,2.8377970754987077e38,6.856869411349706
7.59211401671839,-55.477735882924215,2.4409099924170795e38,6.794609264270103
7.585496517804028,-55.37773588292421,2.0995280945740266e38,6.732854192279958
7.578873189893335,-55.27773588292422,1.8058892396530726e38,6.671600468486875
7.572244017510567,-55.17773588292422,1.553316742284333e38,6.610844391160132
7.565608985111261,-55.077735882924216,1.3360675867232522e38,6.550582283586448
7.558968077081822,-54.977735882924215,1.1492018666387343e38,6.490810493925676
7.552321277739047,-54.87773588292421,9.884704815527432e37,6.431525395065629
7.545668571329708,-54.77773588292422,8.502185422713082e37,6.3727233844800235
7.539009942030164,-54.67773588292422,7.31302275076759e37,6.314400884088457
7.5323453739458905,-54.577735882924216,6.290175452804142e37,6.256554340115605
7.525674851110935,-54.477735882924215,5.4103837956442825e37,6.1991802229484
7.51899835748755,-54.37773588292421,4.653640889194415e37,6.142275026998233
7.512315876965821,-54.27773588292422,4.00273775414233e37,6.085835270565114
7.505627393363175,-54.17773588292422,3.4428720425027137e37,6.029857495697169
7.498932890423728,-54.077735882924216,2.961311539622594e37,5.974338268052864
7.492232351817973,-53.977735882924215,2.547104648710647e37,5.919274176768999
7.485525761142441,-53.87773588292421,2.190831345382652e37,5.86466183432354
7.478813101919009,-53.77773588292422,1.8843890407628992e37,5.810497876398383
7.472094357594499,-53.67773588292422,1.6208083334867963e37,5.756778961750801
7.465369511540246,-53.577735882924216,1.394094498791607e37,5.703501772077939
7.4586385470514704,-53.477735882924215,1.199091231379178e37,5.6506630118821
7.451901447347083,-53.37773588292421,1.0313633690867252e37,5.5982594083453625
7.445158195568944,-53.27773588292422,8.870960217617055e36,5.546287711193397
7.438408774781125,-53.17773588292422,7.630078720354129e36,5.4947446925666386
7.431653167970175,-53.077735882924216,6.562765082507031e36,5.443627146894974
7.424891358044001,-52.977735882924215,5.644742663184444e36,5.392931890761889
7.418123327831129,-52.87773588292421,4.855130306798024e36,5.3426557627836795
7.41134906008131,-52.77773588292422,4.175967162548926e36,5.292795623477874
7.404568537463673,-52.67773588292422,3.591804657262797e36,5.243348355136615
7.3977817425668055,-52.577735882924216,3.0893547692049274e36,5.194310861704918
7.3909886578986885,-52.477735882924215,2.657188105480075e36,5.145680068648079
7.384189265885164,-52.37773588292421,2.2854738532646644e36,5.097452922835556
7.377383548870307,-52.27773588292422,1.9657561649047558e36,5.049626392408452
7.370571489115367,-52.17773588292422,1.6907619958384008e36,5.002197466663105
7.363753068798321,-52.077735882924216,1.4542354672801626e36,4.955163155923066
7.356928270013248,-51.977735882924215,1.2507958380741423e36,4.908520491419679
7.350097074770628,-51.87773588292421,1.0758148641330026e36,4.8622665251695105
7.343259464994789,-51.77773588292422,9.25311778824428e35,4.816398329852119
7.336415422525981,-51.67773588292422,7.958625208408625e35,4.77091299869184
7.32956492911726,-51.577735882924216,6.845220616540347e35,4.725807645334157
7.322707966436062,-51.477735882924215,5.8875722951989666e35,4.681079403730244
7.315844516062041,-51.37773588292421,5.0638926159285946e35,4.6367254280133485
7.308974559486993,-51.27773588292422,4.3554408720409696e35,4.592742892384715
7.302098078115475,-51.17773588292422,3.746098446977247e35,4.549128990991144
7.295215053261343,-51.077735882924216,3.2220007955461085e35,4.505880937811121
7.288325466150794,-50.977735882924215,2.771223339209633e35,4.462995966534612
7.281429297918311,-50.87773588292421,2.383509011372822e35,4.420471330448217
7.274526529609076,-50.77773588292422,2.050036026182494e35,4.378304302318289
7.2676171421753395,-50.67773588292422,1.7632162096282455e35,4.336492174273991
7.260701116479179,-50.577735882924216,1.5165232129575428e35,4.295032257694536
7.253778433288476,-50.477735882924215,1.3043433896392817e35,4.253921883089727
7.246849073278792,-50.37773588292421,1.1218485277680087e35,4.2131583999911015
7.239913017031913,-50.27773588292421,9.648858859689944e34,4.172739176832057
7.232970245034409,-50.17773588292422,8.298831629857305e34,4.132661600835148
7.226020737678654,-50.077735882924216,7.1376859266186785e34,4.092923077900878
7.219064475261012,-49.977735882924215,6.139001701824453e34,4.053521032498307
7.212101437978428,-49.87773588292421,5.2800397154546295e34,4.014452907539229
7.2051316059392345,-49.77773588292421,4.54124836445708e34,3.9757161642673298
7.198154959144331,-49.67773588292422,3.905826977069473e34,3.937308282158353
7.191171477498558,-49.577735882924216,3.359314245556472e34,3.899226758821676
7.184181140807009,-49.477735882924215,2.8892673247288734e34,3.861469109855628
7.177183928784087,-49.37773588292421,2.484983438099765e34,3.8240328687090863
7.170179821036343,-49.27773588292421,2.1372662050849085e34,3.7869155866225195
7.16316879706447,-49.17773588292422,1.8382033579087876e34,3.750114832563129
7.156150836271506,-49.077735882924216,1.5809858205149147e34,3.713628193038903
7.149125917960488,-48.977735882924215,1.3597570915057857e34,3.6774532719478548
7.1420940213354305,-48.87773588292421,1.1694834582537892e34,3.641587690538715
7.135055125481339,-48.77773588292421,1.0058343314952322e34,3.606029087340185
7.128009209390584,-48.67773588292422,8.650837138395184e33,3.570775117969367
7.120956251945165,-48.577735882924216,7.440274108779562e33,3.535823455037954
7.11389623192332,-48.477735882924215,6.399105525377462e33,3.501171788061268
7.1068291279993,-48.37773588292421,5.503628921783069e33,3.4668178233474034
7.099754918732751,-48.27773588292421,4.73345288213476e33,3.4327592838768224
7.092673582569894,-48.17773588292422,4.071048006219834e33,3.3989939091999997
7.085585097853797,-48.077735882924216,3.501337776441616e33,3.3655194553381187
7.078489442826184,-47.977735882924215,3.0113498423706695e33,3.3323336946639794
7.0713865956205675,-47.87773588292421,2.589926007534307e33,3.2994344157887885
7.064276534237539,-47.77773588292421,2.227475399267962e33,3.2668194234625036
7.0571592365671165,-47.67773588292422,1.9157468211444847e33,3.2344865384700636
7.050034680397007,-47.577735882924216,1.6476409767882374e33,3.202433597513182
7.042902843418091,-47.477735882924215,1.4170525185266312e33,3.170658453102494
7.035763703179729,-47.37773588292421,1.2187337266642861e33,3.139158973457156
7.02861723711035,-47.27773588292421,1.0481691444520427e33,3.1079330423991887
7.021463422533785,-47.17773588292422,9.014737474776712e32,3.0769785592366072
7.01430223667627,-47.077735882924216,7.753068912562904e32,3.046293438657977
7.007133656619173,-46.977735882924215,6.66797212178989e32,3.0158756106313396
6.99995765931952,-46.87773588292421,5.734738181875308e32,2.9857230202982534
6.992774221631789,-46.77773588292421,4.932107827163866e32,2.955833627858851
6.985583320297067,-46.67773588292422,4.2418009248882455e32,2.926205408466906
6.978384931915718,-46.577735882924216,3.648106955756015e32,2.8968363521283256
6.971179032956471,-46.477735882924215,3.137506095119695e32,2.867724463596266
6.963965599791447,-46.37773588292421,2.6983658849586705e32,2.8388677622578102
6.956744608666121,-46.27773588292421,2.320682413740205e32,2.810264282028571
6.949516035681647,-46.17773588292422,1.995859723158472e32,2.7819120712510044
